dummy,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,price,month,day,year
1,4,2.5,10006,2.0,0,0,3,9,2720,0,1989,0,98074,47.6295,-122.042,2720,5.9495,7,9,2014
1,2,2.5,5000,1.0,0,0,5,8,1300,1300,1926,0,98126,47.5806,-122.379,2260,6.65,7,18,2014
1,5,1.75,3000,1.5,0,0,3,8,1650,0,1902,0,98144,47.5955,-122.306,1740,4.43,7,7,2014
1,4,1.75,9600,1.0,0,0,4,8,1720,0,1969,0,98059,47.4764,-122.155,1660,3.8,4,28,2015
1,6,2.25,11180,1.0,0,2,5,9,2440,1390,1962,0,98008,47.5849,-122.113,2500,8.87,9,4,2014
1,4,2.5,213008,1.0,0,0,4,7,1210,1000,1975,0,98038,47.4039,-121.98,2270,4.15,2,24,2015
1,3,2.5,23361,1.5,1,4,3,8,2150,450,1912,0,98146,47.4997,-122.379,1700,5.4,3,29,2015
1,4,1.5,4900,1.0,0,0,3,6,1220,0,1942,0,98118,47.5292,-122.269,1410,2.5,11,13,2014
1,3,2.75,24192,2.0,0,0,4,10,3040,0,1987,0,98034,47.7108,-122.225,2770,8.25,8,13,2014
1,2,1.0,5408,1.0,0,0,4,6,1010,0,1926,0,98032,47.3759,-122.238,980,2.25,5,4,2015
1,4,2.5,4082,2.0,0,0,3,7,2660,0,2010,0,98042,47.3414,-122.055,2390,2.87,12,8,2014
1,4,2.5,12215,1.0,1,4,3,9,1590,1090,1956,0,98166,47.4396,-122.353,2960,13.1,6,30,2014
1,3,2.0,9825,1.0,0,0,4,7,1090,550,1971,0,98034,47.7244,-122.2,1500,4.55,4,23,2015
1,4,2.25,17008,2.0,0,0,4,8,2470,0,1979,0,98075,47.5924,-122.048,2470,6.25,7,21,2014
1,4,2.5,3868,2.0,0,0,3,7,1830,0,2007,0,98118,47.5186,-122.276,2330,2.75,7,10,2014
1,3,2.5,5321,2.0,0,0,3,7,1860,0,2000,0,98038,47.3848,-122.033,1940,3.26995,12,8,2014
1,4,2.25,8623,1.0,0,0,4,8,1360,440,1980,0,98033,47.692,-122.184,2370,5.22,5,12,2014
1,1,1.0,7440,1.0,0,0,1,5,500,0,1928,0,98106,47.5252,-122.362,1350,1.25,10,2,2014
1,2,1.0,5680,1.0,0,0,4,6,770,0,1929,0,98117,47.6951,-122.366,1170,3.65,2,6,2015
1,3,2.5,21907,2.0,0,0,3,9,2970,0,1998,2006,98059,47.4741,-122.099,2040,4.995,6,17,2014
1,3,1.5,7117,1.0,0,0,3,7,1170,310,1960,0,98028,47.7766,-122.248,2230,2.85,3,18,2015
1,2,1.5,1034,2.0,0,0,3,7,1120,60,2001,0,98115,47.678,-122.322,1137,4.1,7,24,2014
1,3,2.5,12793,2.0,0,0,3,8,1990,0,1993,0,98028,47.7347,-122.226,2290,4.5,7,7,2014
1,4,2.5,6399,2.0,0,0,3,9,3220,0,2004,0,98075,47.5883,-121.991,2850,6.97,12,8,2014
1,3,1.0,17859,1.0,0,0,4,7,1150,220,1930,0,98024,47.5617,-121.859,1460,2.75,11,18,2014
1,3,1.0,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,6.85,10,28,2014
1,3,2.5,6807,2.5,0,0,5,7,1830,0,1954,0,98155,47.7613,-122.322,1340,4.4,2,18,2015
1,4,2.25,27345,2.0,0,0,5,8,2150,0,1976,0,98059,47.469,-122.121,2200,4.1,9,11,2014
1,4,1.5,6383,1.0,0,0,3,7,1380,1100,1946,0,98119,47.6445,-122.374,1440,6.5,1,26,2015
1,5,3.0,7264,1.0,0,0,3,7,1290,720,1990,0,98103,47.6945,-122.33,1510,4.65,1,22,2015
1,2,1.0,5750,1.0,0,0,3,6,880,0,1939,0,98126,47.5642,-122.379,1190,2.8,11,6,2014
1,3,2.25,8450,1.0,0,0,3,8,1340,340,1960,0,98177,47.7575,-122.361,1850,3.85,11,20,2014
